"cause","sex","age","n","rt_upper","rt_lower","rt"
"Ischemic heart disease","Females","60-64 years",10342.8,163.011,95.5311,119.476
"Ischemic heart disease","Females","65-69 years",12925.9,282.376,161.614,199.841
"Ischemic heart disease","Females","70-74 years",17754.6,492.932,293.789,354.683
"Ischemic heart disease","Females","75-79 years",26895.2,889.775,539.162,646.87
"Ischemic heart disease","Females","80+ years",201486,3629.25,2309.98,2747.69
"Neurological disorders","Males","28-364 days",114.958,11.3591,2.57387,5.70202
"Neurological disorders","Males","1-4 years",75.1321,1.72494,0.411728,0.875121
"Neurological disorders","Males","5-9 years",49.4163,0.789443,0.285631,0.471328
"Neurological disorders","Males","10-14 years",71.6145,1.19738,0.413745,0.709068
"Neurological disorders","Males","15-19 years",192.593,3.41369,0.935269,1.79466
"Neurological disorders","Males","20-24 years",218.576,3.41546,1.18368,2.00667
"Neurological disorders","Males","25-29 years",182.323,2.70103,1.03832,1.6691
"Neurological disorders","Males","30-34 years",182.257,2.72884,1.13007,1.78344
"Neurological disorders","Males","35-39 years",244.221,3.58139,1.59679,2.42284
"Neurological disorders","Males","40-44 years",399.701,5.63096,2.58732,3.82523
"Neurological disorders","Males","45-49 years",656.66,8.65335,3.927,5.88195
"Neurological disorders","Males","50-54 years",1004.02,13.3397,6.39842,9.2776
"Neurological disorders","Males","55-59 years",1405.64,20.368,10.6196,14.883
"Neurological disorders","Males","60-64 years",2230.26,38.8848,19.7678,27.912
"Neurological disorders","Males","65-69 years",3162.26,77.0069,40.6892,55.3187
"Neurological disorders","Males","70-74 years",5576.03,178.102,91.0799,133.565
"Neurological disorders","Males","75-79 years",9949.94,437.485,202.556,315.163
"Neurological disorders","Males","80+ years",49383.5,1801.26,621.841,1184.52
"Neurological disorders","Females","28-364 days",89.5923,10.6491,1.7668,4.65748
"Neurological disorders","Females","1-4 years",71.3991,1.71398,0.403752,0.870997
"Neurological disorders","Females","5-9 years",43.8491,0.765499,0.228482,0.437368
"Neurological disorders","Females","10-14 years",44.4216,0.792936,0.252853,0.460508
"Neurological disorders","Females","15-19 years",60.4059,1.0181,0.322263,0.59062
"Neurological disorders","Females","20-24 years",84.8551,1.31847,0.484218,0.821304
"Neurological disorders","Females","25-29 years",94.8617,1.42014,0.542618,0.920152
"Neurological disorders","Females","30-34 years",126.648,2.01014,0.780979,1.28312
"Neurological disorders","Females","35-39 years",190.301,2.91515,1.18432,1.92139
"Neurological disorders","Females","40-44 years",330.956,4.82545,2.05847,3.18285
"Neurological disorders","Females","45-49 years",593.103,7.70309,3.43189,5.21701
"Neurological disorders","Females","50-54 years",918.443,12.5253,5.34995,8.18837
"Neurological disorders","Females","55-59 years",1334.31,19.3174,8.83995,13.3378
"Neurological disorders","Females","60-64 years",2047.17,34.1547,15.691,23.648
"Neurological disorders","Females","65-69 years",2864.82,61.8874,28.7158,44.2915
"Neurological disorders","Females","70-74 years",5137.31,145.89,62.3519,102.628
"Neurological disorders","Females","75-79 years",10533.6,376.198,127.377,253.349
"Neurological disorders","Females","80+ years",102396,2311.03,510.384,1396.38
"Chronic respiratory diseases","Males","0-6 days",4.04939,16.4025,5.25824,9.60687
"Chronic respiratory diseases","Males","7-27 days",4.78139,6.33845,1.99578,3.79009
"Chronic respiratory diseases","Males","28-364 days",111.947,10.1924,2.6599,5.55269
