"cause","sex","age","n","rt_upper","rt_lower","rt"
"Road injury","Males","80+ years",2254.78,98.8217,32.3487,54.0835
"Road injury","Females","0-6 days",2.652,10.7477,3.87096,6.5985
"Road injury","Females","7-27 days",2.42124,3.42018,1.03144,2.01213
"Road injury","Females","28-364 days",49.8996,5.01292,1.17394,2.59404
"Road injury","Females","1-4 years",271.591,5.25916,1.92049,3.31313
"Road injury","Females","5-9 years",213.158,3.22257,1.37093,2.12612
"Road injury","Females","10-14 years",241.079,3.52692,1.69349,2.49921
"Road injury","Females","15-19 years",1385.34,16.4486,10.6488,13.5452
"Road injury","Females","20-24 years",1195.3,14.9066,8.51819,11.5691
"Road injury","Females","25-29 years",804.085,10.6622,5.51692,7.79956
"Road injury","Females","30-34 years",662.834,9.62165,4.61926,6.71541
"Road injury","Females","35-39 years",707.568,10.8919,4.71215,7.14403
"Road injury","Females","40-44 years",835.309,11.9226,5.22712,8.0333
"Road injury","Females","45-49 years",937.498,12.5606,4.84402,8.24634
"Road injury","Females","50-54 years",880.353,12.1279,4.86027,7.84877
"Road injury","Females","55-59 years",850.111,12.5896,5.25818,8.49777
"Road injury","Females","60-64 years",857.579,14.5789,6.17369,9.90639
"Road injury","Females","65-69 years",744.146,16.8808,7.38291,11.5048
"Road injury","Females","70-74 years",733.436,22.6085,9.14443,14.6518
"Road injury","Females","75-79 years",759.322,29.5339,11.5393,18.2629
"Road injury","Females","80+ years",1916.67,48.1822,15.5323,26.1379
"Breast cancer","Females","15-19 years",1.49753,0.0332068,0.00519067,0.0146422
"Breast cancer","Females","20-24 years",14.8106,0.28351,0.0636183,0.143351
"Breast cancer","Females","25-29 years",78.4088,1.36235,0.409687,0.76056
"Breast cancer","Females","30-34 years",294.898,4.3982,1.94659,2.98772
"Breast cancer","Females","35-39 years",735.843,9.54218,5.55858,7.42952
"Breast cancer","Females","40-44 years",1462.02,17.8123,11.1022,14.0605
"Breast cancer","Females","45-49 years",2574.81,27.7195,18.0273,22.6483
"Breast cancer","Females","50-54 years",3692.94,39.9153,26.5084,32.9244
"Breast cancer","Females","55-59 years",4402.92,53.309,36.1036,44.0119
"Breast cancer","Females","60-64 years",5067.47,70.9801,47.0269,58.5373
"Breast cancer","Females","65-69 years",4490.49,84.5584,54.6286,69.425
"Breast cancer","Females","70-74 years",4130.83,102.036,65.7596,82.5211
"Breast cancer","Females","75-79 years",4186.91,124.546,78.8508,100.702
"Breast cancer","Females","80+ years",11428,201.639,114.675,155.845
"Pancreatic cancer","Males","15-19 years",2.5569,0.10309,0.00282989,0.0238262
"Pancreatic cancer","Males","20-24 years",4.53454,0.164123,0.00399419,0.0416301
"Pancreatic cancer","Males","25-29 years",10.2976,0.294921,0.0162131,0.094271
"Pancreatic cancer","Males","30-34 years",30.0655,0.664989,0.106522,0.2942
"Pancreatic cancer","Males","35-39 years",85.4626,1.55793,0.412219,0.847849
"Pancreatic cancer","Males","40-44 years",229.307,3.67759,1.21777,2.19452
"Pancreatic cancer","Males","45-49 years",603.56,8.92363,3.12837,5.40631
"Pancreatic cancer","Males","50-54 years",1202.19,16.5811,6.81688,11.1088
"Pancreatic cancer","Males","55-59 years",1849.34,28.6166,11.6091,19.5808
"Pancreatic cancer","Males","60-64 years",2492.16,44.817,19.9632,31.1897
"Pancreatic cancer","Males","65-69 years",2588.79,62.7165,28.9285,45.2867
"Pancreatic cancer","Males","70-74 years",2632.97,88.2363,39.4854,63.0686
"Pancreatic cancer","Males","75-79 years",2510.17,118.452,47.2198,79.5093
"Pancreatic cancer","Males","80+ years",4582.35,169.989,62.9952,109.913
"Pancreatic cancer","Females","15-19 years",1.93059,0.0778772,0.00133551,0.0188764
"Pancreatic cancer","Females","20-24 years",4.98978,0.176752,0.00685493,0.0482956
"Pancreatic cancer","Females","25-29 years",10.5169,0.357585,0.013659,0.102013
"Pancreatic cancer","Females","30-34 years",27.3867,1.2245,0.02806,0.277465
"Pancreatic cancer","Females","35-39 years",65.0837,1.80707,0.187823,0.657124
"Pancreatic cancer","Females","40-44 years",176.274,3.52042,0.632456,1.69526
"Pancreatic cancer","Females","45-49 years",438.007,7.82916,1.82714,3.85276
"Pancreatic cancer","Females","50-54 years",817.031,12.932,3.82547,7.28423
"Pancreatic cancer","Females","55-59 years",1362.56,22.9211,7.21367,13.6202
"Pancreatic cancer","Females","60-64 years",1957.9,36.5761,12.3239,22.6168
"Pancreatic cancer","Females","65-69 years",2259.56,58.8688,19.8862,34.9338
"Pancreatic cancer","Females","70-74 years",2595.89,82.5994,31.3766,51.8579
"Pancreatic cancer","Females","75-79 years",2848.33,116.009,34.894,68.5068
"Pancreatic cancer","Females","80+ years",7576.84,183.894,55.5102,103.326
"Self-harm","Males","5-9 years",4.74983,0.084975,0.019388,0.0453034
"Self-harm","Males","10-14 years",172.571,2.81338,0.880331,1.70866
"Self-harm","Males","15-19 years",1408.93,18.7515,8.40559,13.1289
"Self-harm","Males","20-24 years",2435.03,31.0689,14.3754,22.3552
"Self-harm","Males","25-29 years",2228.25,29.5689,13.4012,20.3989
"Self-harm","Males","30-34 years",2002.74,26.8011,12.6819,19.5975
"Self-harm","Males","35-39 years",2144.18,29.4511,12.193,21.2717
"Self-harm","Males","40-44 years",2555.99,33.3979,13.6189,24.4614
"Self-harm","Males","45-49 years",2996.38,36.945,14.665,26.8397
"Self-harm","Males","50-54 years",2998.73,38.505,16.0315,27.7096
"Self-harm","Males","55-59 years",2402.12,37.1295,14.2905,25.4337
"Self-harm","Males","60-64 years",1913.76,36.9285,13.087,23.951
"Self-harm","Males","65-69 years",1424.45,41.0076,14.2549,24.9186
"Self-harm","Males","70-74 years",1207.4,50.1805,18.1909,28.9214
"Self-harm","Males","75-79 years",1168.59,68.9668,22.2544,37.015
"Self-harm","Males","80+ years",2211.92,101.674,32.9069,53.0554
"Self-harm","Females","5-9 years",1.57369,0.0316045,0.0051436,0.0156966
"Self-harm","Females","10-14 years",70.8713,1.43655,0.309979,0.734707
"Self-harm","Females","15-19 years",335.258,5.01936,1.78093,3.27799
"Self-harm","Females","20-24 years",428.609,6.22702,2.30593,4.14846
"Self-harm","Females","25-29 years",469.772,7.05388,2.55887,4.55675
"Self-harm","Females","30-34 years",509.163,8.68647,2.86431,5.15852
"Self-harm","Females","35-39 years",666.362,10.4403,3.82922,6.72799
"Self-harm","Females","40-44 years",876.843,12.6659,4.76654,8.43274
"Self-harm","Females","45-49 years",1041.75,13.9999,4.80715,9.16338
"Self-harm","Females","50-54 years",1012.56,13.0446,4.70028,9.02744
"Self-harm","Females","55-59 years",795.657,11.8345,3.84768,7.95344
"Self-harm","Females","60-64 years",580.068,11.0908,3.36044,6.7007
"Self-harm","Females","65-69 years",351.388,9.75871,2.88994,5.43261
"Self-harm","Females","70-74 years",246.912,8.52745,3.03632,4.93254
"Self-harm","Females","75-79 years",198.685,9.44064,2.85913,4.77867
"Self-harm","Females","80+ years",403.429,11.9044,3.16432,5.50161
"Prostate cancer","Males","15-19 years",0.646412,0.0198664,0.000354685,0.00602352
"Prostate cancer","Males","20-24 years",0.793674,0.0226224,0.000555081,0.00728646
"Prostate cancer","Males","25-29 years",1.95578,0.0480849,0.00311954,0.0179045
"Prostate cancer","Males","30-34 years",2.71676,0.0759289,0.00551828,0.0265843
"Prostate cancer","Males","35-39 years",6.42375,0.175485,0.0168542,0.063728
"Prostate cancer","Males","40-44 years",32.4387,0.691787,0.109245,0.310445
"Prostate cancer","Males","45-49 years",127.113,2.76428,0.361936,1.1386
"Prostate cancer","Males","50-54 years",436.34,8.48946,1.67488,4.03198
"Prostate cancer","Males","55-59 years",1063.07,21.7491,4.77699,11.2558
"Prostate cancer","Males","60-64 years",2146.87,48.9136,13.2386,26.8683
"Prostate cancer","Males","65-69 years",3238.03,100.04,27.231,56.6442
"Prostate cancer","Males","70-74 years",4459.9,192.749,57.7287,106.83
"Prostate cancer","Males","75-79 years",5948.7,339.09,100.907,188.424
"Prostate cancer","Males","80+ years",18457.9,842.994,227.648,442.735
"Falls","Males","0-6 days",0.631762,2.7361,0.76028,1.49881
"Falls","Males","7-27 days",0.784949,1.08042,0.318411,0.62221
"Falls","Males","28-364 days",12.173,1.20214,0.288574,0.603793
"Falls","Males","1-4 years",35.6896,0.770144,0.200869,0.415704
"Falls","Males","5-9 years",11.7847,0.209688,0.0534696,0.112401
"Falls","Males","10-14 years",16.2239,0.288442,0.0770152,0.160636
"Falls","Males","15-19 years",74.1969,1.16457,0.351076,0.691395
"Falls","Males","20-24 years",150.029,2.22688,0.745085,1.37736
"Falls","Males","25-29 years",150.339,2.26234,0.740954,1.3763
"Falls","Males","30-34 years",154.889,2.46893,0.834588,1.51564
"Falls","Males","35-39 years",186.985,2.94778,1.06594,1.85502
"Falls","Males","40-44 years",297.186,4.27926,1.62522,2.84414
"Falls","Males","45-49 years",446.814,6.14268,2.13423,4.00228
"Falls","Males","50-54 years",566.834,8.06258,2.50392,5.2378
"Falls","Males","55-59 years",628.19,10.56,2.98389,6.65128
"Falls","Males","60-64 years",746.77,14.7677,3.92133,9.34593
"Falls","Males","65-69 years",814.349,21.6222,5.24409,14.2457
"Falls","Males","70-74 years",1050.53,39.8152,9.42002,25.1638
"Falls","Males","75-79 years",1594.01,80.8333,17.0699,50.4899
"Falls","Males","80+ years",7720.11,292.306,81.6453,185.176
"Falls","Females","0-6 days",0.345318,1.52958,0.465321,0.859192
"Falls","Females","7-27 days",0.451413,0.636745,0.20506,0.37514
"Falls","Females","28-364 days",7.2373,0.742587,0.188182,0.376233
"Falls","Females","1-4 years",17.508,0.406202,0.104091,0.21358
"Falls","Females","5-9 years",6.31205,0.12423,0.0288598,0.0629588
"Falls","Females","10-14 years",6.71432,0.128952,0.0355301,0.0696058
"Falls","Females","15-19 years",15.3009,0.264298,0.0784755,0.149605
"Falls","Females","20-24 years",22.3665,0.379556,0.109899,0.216483
"Falls","Females","25-29 years",22.8722,0.37025,0.118259,0.221859
"Falls","Females","30-34 years",30.6422,0.526225,0.172347,0.310447
"Falls","Females","35-39 years",42.5198,0.713489,0.248337,0.429306
"Falls","Females","40-44 years",76.0144,1.20941,0.410297,0.731043
"Falls","Females","45-49 years",134.836,1.9298,0.605686,1.18603
"Falls","Females","50-54 years",193.793,2.81051,0.791075,1.72776
"Falls","Females","55-59 years",281.819,4.96713,1.15249,2.81708
"Falls","Females","60-64 years",422.858,8.51924,1.78947,4.88468
"Falls","Females","65-69 years",550.069,14.1673,2.91954,8.50431
"Falls","Females","70-74 years",880.46,29.4437,6.33838,17.5889
"Falls","Females","75-79 years",1520.57,59.3013,13.1255,36.572
"Falls","Females","80+ years",12661,272.835,78.4896,172.659
"Leukemia","Males","28-364 days",13.142,1.25684,0.291209,0.651856
"Leukemia","Males","1-4 years",91.9665,2.00204,0.531137,1.0712
"Leukemia","Males","5-9 years",97.6088,1.57402,0.506145,0.930983
"Leukemia","Males","10-14 years",102.417,1.6364,0.547733,1.01404
"Leukemia","Males","15-19 years",146.645,2.36242,0.755047,1.3665
"Leukemia","Males","20-24 years",164.157,2.49158,0.814874,1.50707
"Leukemia","Males","25-29 years",154.69,2.3355,0.765476,1.41613
"Leukemia","Males","30-34 years",151.321,2.48487,0.824876,1.48072
"Leukemia","Males","35-39 years",170.179,2.70546,0.932854,1.68829
"Leukemia","Males","40-44 years",237.02,3.71755,1.28842,2.26833
"Leukemia","Males","45-49 years",376.769,5.34558,2.10827,3.37486
"Leukemia","Males","50-54 years",576.768,8.402,3.3463,5.32959
"Leukemia","Males","55-59 years",849.696,13.7811,5.94089,8.99659
"Leukemia","Males","60-64 years",1253.82,22.529,10.6782,15.6918
"Leukemia","Males","65-69 years",1506.71,37.7946,17.173,26.3574
"Leukemia","Males","70-74 years",1825.74,60.404,27.8932,43.7326
"Leukemia","Males","75-79 years",2107.65,92.2465,39.4286,66.7593
"Leukemia","Males","80+ years",4761.63,167.979,65.3702,114.213
"Leukemia","Females","28-364 days",11.4804,1.17784,0.250003,0.59681
"Leukemia","Females","1-4 years",74.1205,1.51516,0.424632,0.904195
"Leukemia","Females","5-9 years",71.815,1.25974,0.363967,0.716311
"Leukemia","Females","10-14 years",77.4003,1.55159,0.345719,0.802391
"Leukemia","Females","15-19 years",94.1225,1.58333,0.43026,0.920284
"Leukemia","Females","20-24 years",94.4903,1.6137,0.418379,0.914562
"Leukemia","Females","25-29 years",92.8349,1.70564,0.420772,0.900492
"Leukemia","Females","30-34 years",106.422,1.8257,0.560884,1.0782
"Leukemia","Females","35-39 years",137.234,2.49042,0.701638,1.38559
"Leukemia","Females","40-44 years",191.817,3.04135,1.02962,1.84474
"Leukemia","Females","45-49 years",314.567,4.51759,1.64073,2.76697
"Leukemia","Females","50-54 years",439.837,6.67133,2.1064,3.92136
"Leukemia","Females","55-59 years",579.312,8.94876,3.23391,5.79084
"Leukemia","Females","60-64 years",780.689,13.9589,5.14687,9.01819
"Leukemia","Females","65-69 years",899.432,20.6391,7.88005,13.9056
"Leukemia","Females","70-74 years",1105.53,35.2784,11.6961,22.085
"Leukemia","Females","75-79 years",1319.77,51.3138,15.9625,31.7425
"Leukemia","Females","80+ years",4488.34,97.6273,32.5962,61.208
"Non-Hodgkin lymphoma","Males","28-364 days",1.30843,0.145326,0.0260791,0.0648996
"Non-Hodgkin lymphoma","Males","1-4 years",11.678,0.279267,0.0494116,0.136022
"Non-Hodgkin lymphoma","Males","5-9 years",16.4882,0.308914,0.0593567,0.157263
"Non-Hodgkin lymphoma","Males","10-14 years",25.9529,0.548256,0.107179,0.256965
"Non-Hodgkin lymphoma","Males","15-19 years",47.8796,0.858536,0.20067,0.446161
"Non-Hodgkin lymphoma","Males","20-24 years",72.6833,1.15792,0.349786,0.667281
"Non-Hodgkin lymphoma","Males","25-29 years",86.2974,1.28016,0.404549,0.790023
"Non-Hodgkin lymphoma","Males","30-34 years",113.786,2.0132,0.54143,1.11343
"Non-Hodgkin lymphoma","Males","35-39 years",163.982,2.94423,0.80666,1.62682
"Non-Hodgkin lymphoma","Males","40-44 years",271.56,4.41073,1.45448,2.59889
"Non-Hodgkin lymphoma","Males","45-49 years",469.499,7.18289,2.55198,4.20548
"Non-Hodgkin lymphoma","Males","50-54 years",735.206,11.6096,4.0041,6.79363
"Non-Hodgkin lymphoma","Males","55-59 years",1035.49,16.4041,6.83928,10.9638
"Non-Hodgkin lymphoma","Males","60-64 years",1389.26,26.4199,9.91824,17.3868
"Non-Hodgkin lymphoma","Males","65-69 years",1571.6,39.9253,16.0314,27.4927
"Non-Hodgkin lymphoma","Males","70-74 years",1685.04,57.1469,24.4678,40.3624
"Non-Hodgkin lymphoma","Males","75-79 years",1905.75,91.3344,29.8805,60.3644
"Non-Hodgkin lymphoma","Males","80+ years",3869.15,148.963,48.9361,92.8059
"Non-Hodgkin lymphoma","Females","28-364 days",0.912527,0.0880863,0.0231935,0.0474379
"Non-Hodgkin lymphoma","Females","1-4 years",7.27357,0.197521,0.0332452,0.0887302
"Non-Hodgkin lymphoma","Females","5-9 years",6.95917,0.140688,0.0296917,0.0694135
"Non-Hodgkin lymphoma","Females","10-14 years",10.9389,0.221982,0.050386,0.113401
"Non-Hodgkin lymphoma","Females","15-19 years",24.0618,0.491833,0.0949609,0.235264
"Non-Hodgkin lymphoma","Females","20-24 years",38.5969,0.707116,0.155994,0.373576
"Non-Hodgkin lymphoma","Females","25-29 years",48.6648,0.891417,0.203846,0.472045
"Non-Hodgkin lymphoma","Females","30-34 years",61.6961,1.09352,0.311171,0.625066
"Non-Hodgkin lymphoma","Females","35-39 years",88.7519,1.53289,0.452683,0.896092
"Non-Hodgkin lymphoma","Females","40-44 years",150.564,2.43002,0.750387,1.44799
"Non-Hodgkin lymphoma","Females","45-49 years",273.14,4.08499,1.36612,2.40258
"Non-Hodgkin lymphoma","Females","50-54 years",441.413,6.06893,2.30948,3.93541
"Non-Hodgkin lymphoma","Females","55-59 years",657.015,10.7936,3.90258,6.56756
"Non-Hodgkin lymphoma","Females","60-64 years",962.181,18.6242,6.48293,11.1147
"Non-Hodgkin lymphoma","Females","65-69 years",1116.58,27.416,10.637,17.2629
"Non-Hodgkin lymphoma","Females","70-74 years",1358.32,41.0957,15.9115,27.1349
"Non-Hodgkin lymphoma","Females","75-79 years",1680.56,62.4857,21.8609,40.42
"Non-Hodgkin lymphoma","Females","80+ years",4769.61,104.687,37.0939,65.0437
"Parkinson's disease","Males","20-24 years",2.30302,0.0403256,0.00607673,0.0211433
"Parkinson's disease","Males","25-29 years",2.87009,0.0536871,0.00706756,0.0262747
"Parkinson's disease","Males","30-34 years",3.02176,0.0572405,0.00909304,0.0295689
"Parkinson's disease","Males","35-39 years",5.10293,0.111445,0.013689,0.0506246
"Parkinson's disease","Males","40-44 years",9.17749,0.19059,0.0228641,0.0878305
"Parkinson's disease","Males","45-49 years",21.513,0.43738,0.0525021,0.1927
"Parkinson's disease","Males","50-54 years",50.3715,0.964184,0.154832,0.465455
"Parkinson's disease","Males","55-59 years",111.047,2.29987,0.461185,1.17577
"Parkinson's disease","Males","60-64 years",265.865,5.94283,1.30902,3.32734
"Parkinson's disease","Males","65-69 years",563.759,16.8147,4.62833,9.86208
"Parkinson's disease","Males","70-74 years",1240.44,49.9239,13.5493,29.7127
"Parkinson's disease","Males","75-79 years",2291.12,119.175,30.6723,72.5707
"Parkinson's disease","Males","80+ years",8168.23,338.85,71.5917,195.924
"Parkinson's disease","Females","20-24 years",0.801249,0.0173228,0.0015499,0.00775521
"Parkinson's disease","Females","25-29 years",1.06418,0.0214457,0.00228886,0.0103224
"Parkinson's disease","Females","30-34 years",1.45705,0.0308146,0.00356952,0.0147619
"Parkinson's disease","Females","35-39 years",2.3499,0.0456052,0.00697073,0.023726
"Parkinson's disease","Females","40-44 years",5.28527,0.111294,0.0161648,0.0508293
"Parkinson's disease","Females","45-49 years",12.732,0.251624,0.0303956,0.111992
"Parkinson's disease","Females","50-54 years",30.4755,0.589505,0.107946,0.271704
"Parkinson's disease","Females","55-59 years",65.1134,1.42033,0.250337,0.650878
"Parkinson's disease","Females","60-64 years",148.996,3.41197,0.681805,1.72114
"Parkinson's disease","Females","65-69 years",291.082,7.80595,1.86822,4.50025
"Parkinson's disease","Females","70-74 years",637.806,21.2639,5.66181,12.7414
"Parkinson's disease","Females","75-79 years",1270.52,51.2702,13.1313,30.558
"Parkinson's disease","Females","80+ years",7035.77,163.826,39.1034,95.9476
"Other digestive diseases","Males","1-4 years",24.6824,0.515453,0.153125,0.287495
"Other digestive diseases","Males","5-9 years",6.81785,0.131048,0.0284177,0.065028
"Other digestive diseases","Males","10-14 years",5.91176,0.115094,0.0253186,0.0585334
"Other digestive diseases","Males","15-19 years",11.2792,0.201319,0.0507065,0.105104
"Other digestive diseases","Males","20-24 years",15.965,0.292331,0.0672936,0.14657
"Other digestive diseases","Males","25-29 years",22.1902,0.377921,0.0980149,0.203144
"Other digestive diseases","Males","30-34 years",26.9304,0.492159,0.13434,0.263523
"Other digestive diseases","Males","35-39 years",49.9939,0.847224,0.256513,0.495974
"Other digestive diseases","Males","40-44 years",90.6351,1.53167,0.448073,0.867397
"Other digestive diseases","Males","45-49 years",168.979,2.67335,0.791064,1.51361
"Other digestive diseases","Males","50-54 years",274.196,4.1897,1.3526,2.5337
"Other digestive diseases","Males","55-59 years",431.15,7.32456,2.72049,4.56503
"Other digestive diseases","Males","60-64 years",574.554,11.6965,3.96593,7.19062
"Other digestive diseases","Males","65-69 years",668.451,18.1124,6.8488,11.6935
"Other digestive diseases","Males","70-74 years",808.315,29.2176,12.0438,19.3619
"Other digestive diseases","Males","75-79 years",1054.75,50.2754,20.5024,33.4089
"Other digestive diseases","Males","80+ years",4021.44,147.344,61.6926,96.4589
"Other digestive diseases","Females","1-4 years",22.3738,0.549016,0.122344,0.272938
"Other digestive diseases","Females","5-9 years",5.9044,0.123685,0.0244299,0.0588928
"Other digestive diseases","Females","10-14 years",7.22535,0.144381,0.0335087,0.0749036
"Other digestive diseases","Females","15-19 years",9.65154,0.222001,0.033812,0.0943681
"Other digestive diseases","Females","20-24 years",15.6489,0.381312,0.0480881,0.151464
"Other digestive diseases","Females","25-29 years",20.6615,0.46537,0.0715335,0.200415
"Other digestive diseases","Females","30-34 years",27.0463,0.590317,0.117096,0.274016
"Other digestive diseases","Females","35-39 years",49.9513,1.04552,0.2284,0.504338
"Other digestive diseases","Females","40-44 years",87.173,1.86794,0.35861,0.838357
"Other digestive diseases","Females","45-49 years",157.624,2.7801,0.6253,1.38648
"Other digestive diseases","Females","50-54 years",257.669,4.60715,1.09088,2.29725
"Other digestive diseases","Females","55-59 years",419.077,7.5509,2.23949,4.18912
"Other digestive diseases","Females","60-64 years",626.11,12.2841,4.08296,7.23256
"Other digestive diseases","Females","65-69 years",760.659,19.577,6.91398,11.7601
"Other digestive diseases","Females","70-74 years",996.872,33.0669,11.5695,19.9144
"Other digestive diseases","Females","75-79 years",1463.09,59.5407,21.8094,35.1895
"Other digestive diseases","Females","80+ years",9046,209.427,72.871,123.361
"Interpersonal violence","Males","0-6 days",17.6382,81.1062,19.4845,41.8454
"Interpersonal violence","Males","7-27 days",7.22663,10.3259,2.59219,5.72837
"Interpersonal violence","Males","28-364 days",139.643,12.9906,2.90381,6.92645
"Interpersonal violence","Males","1-4 years",227.814,4.7677,1.23917,2.65353
"Interpersonal violence","Males","5-9 years",69.4956,1.14543,0.315433,0.662842
"Interpersonal violence","Males","10-14 years",141.444,2.3725,0.699067,1.40046
"Interpersonal violence","Males","15-19 years",1733.29,24.6529,9.88268,16.1515
"Interpersonal violence","Males","20-24 years",2797.44,37.6436,16.2914,25.6824
"Interpersonal violence","Males","25-29 years",2318.86,32.1108,13.524,21.2283
"Interpersonal violence","Males","30-34 years",1696.82,26.83,10.4058,16.6039
"Interpersonal violence","Males","35-39 years",1279.66,22.9621,7.59142,12.6951
"Interpersonal violence","Males","40-44 years",1163.78,19.8757,6.31341,11.1376
"Interpersonal violence","Males","45-49 years",1110.87,20.8806,5.61498,9.95049
"Interpersonal violence","Males","50-54 years",886.943,16.2518,4.61692,8.19574
"Interpersonal violence","Males","55-59 years",595.214,13.9326,3.43135,6.30214
"Interpersonal violence","Males","60-64 years",406.807,10.1707,2.89219,5.09125
"Interpersonal violence","Males","65-69 years",262.956,9.30678,2.43657,4.60001
"Interpersonal violence","Males","70-74 years",180.028,8.93493,2.19448,4.3123
"Interpersonal violence","Males","75-79 years",140.984,9.84618,2.10778,4.46564
"Interpersonal violence","Males","80+ years",230.393,12.8887,2.59908,5.52624
"Interpersonal violence","Females","0-6 days",15.531,76.6903,16.5589,38.643
"Interpersonal violence","Females","7-27 days",5.85619,8.1931,2.74302,4.86669
"Interpersonal violence","Females","28-364 days",106.862,10.038,2.85205,5.55523
"Interpersonal violence","Females","1-4 years",209.588,4.52784,1.29261,2.55676
"Interpersonal violence","Females","5-9 years",67.9693,1.251,0.292059,0.677952
"Interpersonal violence","Females","10-14 years",73.1112,1.34085,0.348676,0.757927
"Interpersonal violence","Females","15-19 years",318.074,4.8796,1.7421,3.10997
"Interpersonal violence","Females","20-24 years",471.825,7.33786,2.71391,4.56675
"Interpersonal violence","Females","25-29 years",447.734,7.77181,2.6442,4.34299
"Interpersonal violence","Females","30-34 years",394.878,7.00681,2.39294,4.00065
"Interpersonal violence","Females","35-39 years",382.224,6.78482,2.29959,3.85916
"Interpersonal violence","Females","40-44 years",392.58,6.32816,2.27632,3.77551
"Interpersonal violence","Females","45-49 years",374.957,5.74124,1.93714,3.29816
"Interpersonal violence","Females","50-54 years",267.179,4.13672,1.41922,2.38203
"Interpersonal violence","Females","55-59 years",201.244,3.32212,1.10765,2.01165
"Interpersonal violence","Females","60-64 years",157.465,3.14249,1.00652,1.81896
"Interpersonal violence","Females","65-69 years",121.37,3.28357,1.01498,1.87643
"Interpersonal violence","Females","70-74 years",102.968,3.6471,1.10883,2.05697
"Interpersonal violence","Females","75-79 years",94.3354,4.06343,1.18077,2.26891
"Interpersonal violence","Females","80+ years",265.407,6.62993,1.80558,3.61939
"Liver cancer","Males","5-9 years",10.4513,0.3252,0.0150017,0.0996839
"Liver cancer","Males","10-14 years",6.62813,0.199477,0.0116718,0.0656263
"Liver cancer","Males","15-19 years",11.5101,0.302228,0.0282156,0.107255
"Liver cancer","Males","20-24 years",14.1054,0.351819,0.0373221,0.129497
"Liver cancer","Males","25-29 years",29.4745,0.605301,0.0998866,0.269829
"Liver cancer","Males","30-34 years",42.8508,0.80955,0.175417,0.419309
"Liver cancer","Males","35-39 years",80.0451,1.53358,0.386515,0.794103
"Liver cancer","Males","40-44 years",199.843,3.3064,1.02049,1.91254
"Liver cancer","Males","45-49 years",590.594,8.50488,2.47551,5.29017
"Liver cancer","Males","50-54 years",1301.42,18.2624,4.86143,12.0257
"Liver cancer","Males","55-59 years",1811.48,27.4472,7.60419,19.18
"Liver cancer","Males","60-64 years",1745.23,31.382,10.7738,21.8418
"Liver cancer","Males","65-69 years",1595.37,40.0753,16.2389,27.9085
"Liver cancer","Males","70-74 years",1597.55,54.1603,21.48,38.2668
"Liver cancer","Males","75-79 years",1458.87,66.9637,27.7008,46.2093
"Liver cancer","Males","80+ years",2282.62,85.6215,30.0752,54.7512
"Liver cancer","Females","5-9 years",6.41263,0.236164,0.00461277,0.063962
"Liver cancer","Females","10-14 years",7.61545,0.304567,0.00742973,0.0789476
"Liver cancer","Females","15-19 years",11.2661,0.397996,0.0141063,0.110155
"Liver cancer","Females","20-24 years",10.0122,0.327428,0.0162567,0.0969075
"Liver cancer","Females","25-29 years",15.5752,0.505485,0.0259917,0.151078
"Liver cancer","Females","30-34 years",24.7607,0.638804,0.0672726,0.25086
"Liver cancer","Females","35-39 years",45.9792,1.01927,0.155647,0.464234
"Liver cancer","Females","40-44 years",88.112,1.71663,0.347721,0.847388
"Liver cancer","Females","45-49 years",203.013,3.07694,0.862338,1.78573
"Liver cancer","Females","50-54 years",361.473,5.29317,1.45838,3.22271
"Liver cancer","Females","55-59 years",530.875,8.37267,2.41414,5.30666
"Liver cancer","Females","60-64 years",655.422,11.8549,4.01536,7.57116
"Liver cancer","Females","65-69 years",743.063,17.6568,5.67591,11.4881
"Liver cancer","Females","70-74 years",861.019,26.002,8.72005,17.2005
"Liver cancer","Females","75-79 years",957.999,35.1977,10.7517,23.0413
"Liver cancer","Females","80+ years",2230.55,48.0072,16.6409,30.4183
"Drug use disorders","Males","0-6 days",0.428169,2.50509,0.290222,1.0158
"Drug use disorders","Males","7-27 days",0.611901,1.24566,0.12471,0.485039
"Drug use disorders","Males","28-364 days",5.918,0.68985,0.0523428,0.293539
"Drug use disorders","Males","1-4 years",18.4298,0.609344,0.0592772,0.214666
"Drug use disorders","Males","5-9 years",5.30526,0.118693,0.0105968,0.050601
"Drug use disorders","Males","10-14 years",14.3465,0.312318,0.0222353,0.142047
"Drug use disorders","Males","15-19 years",299.495,6.60173,0.42895,2.79081
"Drug use disorders","Males","20-24 years",1012.83,19.7142,1.67759,9.29849
"Drug use disorders","Males","25-29 years",1404.48,30.8715,2.85754,12.8575
"Drug use disorders","Males","30-34 years",1487.1,31.3059,4.82738,14.5518
"Drug use disorders","Males","35-39 years",1645.41,37.5924,4.04029,16.3236
"Drug use disorders","Males","40-44 years",2142.09,54.4075,4.13475,20.5002
"Drug use disorders","Males","45-49 years",2184.73,47.8145,3.77768,19.5695
"Drug use disorders","Males","50-54 years",1695.44,35.3121,2.76186,15.6667
"Drug use disorders","Males","55-59 years",898.735,21.2621,1.5985,9.51582
"Drug use disorders","Males","60-64 years",446.353,14.4359,1.06748,5.58617
"Drug use disorders","Males","65-69 years",210.811,9.72699,0.714741,3.68781
"Drug use disorders","Males","70-74 years",141.028,9.02467,0.915437,3.37811
